,id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
4854,2018-450925,2018-03-26,Vente,73600.0,34172,Montpellier,Maison,83.0,4.0,,
4879,2018-450939,2018-04-11,Vente,400000.0,34172,Montpellier,Maison,170.0,7.0,sols,396.0
4947,2018-450977,2018-03-26,Vente,256190.0,34172,Montpellier,Maison,100.0,4.0,sols,256.0
5067,2018-451049,2018-03-29,Vente,339974.0,34172,Montpellier,Maison,94.0,4.0,,
5247,2018-451147,2018-04-20,Vente,203400.0,34172,Montpellier,Maison,104.0,4.0,sols,227.0
5248,2018-451148,2018-04-04,Vente,110300.0,34172,Montpellier,Maison,89.0,4.0,sols,101.0
5272,2018-451164,2018-03-30,Vente,169500.0,34172,Montpellier,Maison,100.0,5.0,,
5276,2018-451167,2018-04-18,Vente,285000.0,34172,Montpellier,Maison,80.0,4.0,,
5309,2018-451184,2018-04-17,Vente,355716.0,34172,Montpellier,Maison,91.0,4.0,sols,86.0
5310,2018-451185,2018-04-23,Vente,178200.0,34172,Montpellier,Maison,104.0,4.0,sols,230.0
5334,2018-451201,2018-04-03,Vente,341200.0,34172,Montpellier,Maison,76.0,4.0,sols,399.0
5348,2018-451210,2018-03-30,Vente,310347.0,34172,Montpellier,Maison,96.0,4.0,sols,230.0
5374,2018-451225,2018-04-17,Vente,683050.0,34172,Montpellier,Maison,165.0,5.0,sols,1004.0
5382,2018-451230,2018-04-12,Vente,172000.0,34172,Montpellier,Maison,39.0,2.0,sols,121.0
5396,2018-451242,2018-04-05,Vente,175964.0,34172,Montpellier,Maison,90.0,5.0,sols,329.0
5416,2018-451252,2018-04-19,Vente,215210.0,34172,Montpellier,Maison,86.0,4.0,,
5462,2018-451283,2018-04-10,Vente,74880.0,34172,Montpellier,Maison,84.0,4.0,,
5473,2018-451289,2018-04-10,Vente,147200.0,34172,Montpellier,Maison,78.0,3.0,sols,135.0
5512,2018-451309,2018-04-06,Vente,205000.0,34172,Montpellier,Maison,104.0,4.0,sols,226.0
5579,2018-451352,2018-04-12,Vente,533950.0,34172,Montpellier,Maison,120.0,6.0,sols,63.0
5583,2018-451355,2018-04-13,Vente,220000.0,34172,Montpellier,Maison,77.0,3.0,sols,229.0
5651,2018-451396,2018-04-12,Vente,400000.0,34172,Montpellier,Maison,106.0,6.0,sols,615.0
5720,2018-451437,2018-04-19,Vente,126300.0,34172,Montpellier,Maison,102.0,5.0,sols,137.0
5745,2018-451451,2018-04-13,Vente,273800.0,34172,Montpellier,Maison,98.0,5.0,,
5808,2018-451488,2018-05-03,Vente,294000.0,34172,Montpellier,Maison,93.0,4.0,sols,171.0
